,zcr_mean,zcr_std,tempo,rmse_mean,rmse_std,sp_centroid_mean,sp_centroid_std,sp_bandwidth_mean,sp_bandwidth_std,sp_contrast_mean,sp_contrast_std,sp_rolloff_mean,sp_rolloff_std,chroma_mean,chroma_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,genre
0,0.082393246,0.01500003,123,0.130227923,0.053166687,1784.16585,360.2416752,2002.44906,293.0576075,20.52669869,8.760241662,3805.839606,949.4763955,0.549765678,0.249525584,-113.5706501,50.63800397,121.5717983,17.20214564,-19.16814183,15.34843446,42.36641931,12.29255439,-6.36466297,12.95896658,18.62349792,9.443561136,-13.70488971,8.22560044,15.34314956,8.302564946,-12.27410844,9.066653345,10.97657055,7.961552068,-8.326572194,7.859585839,8.803791232,7.158500305,-3.672299422,6.420079267,blues
1,0.055740539,0.022937809,108,0.09594781,0.048710771,1530.176679,613.066125,2039.036516,462.4324334,20.67612826,8.237203412,3550.522098,1725.657379,0.50332144,0.275164112,-207.501685,88.11671784,123.9912585,23.66981067,8.955128384,23.93346871,35.87764681,16.26364515,2.907320722,16.73119698,21.51046711,12.50908146,-8.560436525,14.17212734,23.37068584,11.93967955,-10.09966052,12.88830937,11.90049675,10.21560605,-5.555638115,10.25541944,5.37632652,9.808017826,-2.231760011,8.056940892,blues
2,0.075774912,0.014547265,161,0.175570413,0.052401491,1552.811865,395.5599112,1747.702312,276.1416163,22.19751653,8.725291823,3042.260232,885.4572043,0.515416858,0.254181856,-90.72259499,57.61115238,140.4463057,22.55582045,-29.09389022,20.29239283,31.68433633,12.00376363,-13.98450337,12.4697142,25.76474346,8.634141469,-13.66487505,10.3432025,11.63993308,10.32351051,-11.78364223,8.08999086,9.718760448,8.240683276,-13.13380333,7.601409437,5.79119893,8.029956944,-8.907628025,7.77078826,blues
3,0.033182477,0.011431133,172,0.141093001,0.079663962,1070.106615,429.3669089,1596.412872,407.9724191,21.42626815,7.961446212,2184.745799,1221.963322,0.401058684,0.298861684,-199.5442,74.21264913,150.0909083,21.36598624,5.662679298,16.0362453,26.85907931,12.58043356,1.771400203,16.37175644,14.23402962,11.26028998,-4.832005889,12.48647615,9.286494752,9.015195327,-0.759185868,9.597608447,8.137605794,8.44476637,-3.200652415,10.49936566,6.079318743,6.946365783,-2.480173335,7.536538035,blues
4,0.1009306,0.032723707,136,0.091528714,0.047993727,1835.004266,586.0033611,1748.172116,297.3973924,21.46633813,7.936383684,3579.757627,1254.18413,0.521291453,0.253738061,-160.3377111,72.07837534,126.2196312,29.21959449,-35.58780915,18.27000216,22.14807083,13.90885036,-32.47860168,18.33785273,10.85229293,11.61170112,-23.35233001,9.656971683,0.498432365,11.16566766,-11.79343581,11.40497144,1.207254182,9.983766373,-13.08841664,8.958463351,-2.813868176,9.296807153,-6.933384364,9.463373909,blues
5,0.093499377,0.059469465,112,0.103493638,0.063091271,1831.99394,1015.126775,1729.653287,449.3445322,22.54583103,8.176805972,3481.517592,1809.541367,0.456630222,0.269835459,-177.7742347,85.48343342,118.2054852,56.52621407,-17.5658787,25.58073226,30.76239999,22.03965843,-21.74783904,20.8185017,11.92099345,16.32150543,-20.73099398,13.02849739,3.186577549,11.56446533,-8.586038605,13.12361965,-0.932852402,10.00630175,-11.77243406,8.749088019,-2.405832807,8.871742632,-9.343664749,8.960474136,blues
6,0.072304981,0.028607354,123,0.141874149,0.09382531,1459.366472,661.7094514,1389.009131,430.1432779,23.42954022,7.036666863,2795.610963,1273.358561,0.432264269,0.291079618,-190.0523732,98.26766914,130.2890831,43.9635719,-36.36953513,36.15920803,33.02903372,21.91693676,11.10878255,32.91881968,-0.605583466,16.75643595,-20.87185659,12.33949205,0.273024842,10.14474963,-6.486139518,11.44313082,-5.516767238,12.38752028,-7.839751158,9.35098066,-3.128592006,8.014091084,-6.596197266,8.895278765,blues
7,0.060930985,0.034999622,92,0.131822184,0.074371658,1451.667066,670.4984433,1577.270941,410.136488,22.44250934,7.240403925,2954.83676,1276.373759,0.431252237,0.275324416,-179.3471491,81.07972582,136.4690133,38.46101095,-26.67313461,24.32348688,39.98424445,18.77622181,5.304418544,25.49964105,10.92861028,11.67493684,-20.56482722,12.79733649,8.511155696,12.30020284,-11.35724909,13.11271003,-3.468347023,13.34859778,-8.419936971,12.14528096,-6.949715896,9.14977066,-3.539138585,9.660300279,blues
8,0.063489959,0.011165759,83,0.142416492,0.038822107,1719.368948,404.082721,2031.740381,324.8733879,22.38088605,9.445156965,3782.316288,1123.795795,0.502476716,0.271241841,-121.3639398,51.20737229,122.5066828,20.35941754,-14.73819649,18.47206437,46.13106758,13.91478672,-8.18187974,13.31029793,20.18296351,10.34492978,-19.17337899,7.593716308,23.03913981,8.77891124,-11.83822438,6.527215002,21.15999923,7.659482268,-6.718366172,6.996106953,6.992542296,7.512049222,-12.73059788,7.873028866,blues
9,0.078694768,0.02036009,129,0.081313662,0.065930754,1817.150863,546.1100084,1973.773306,337.7426721,21.16195009,7.956337975,3943.490565,1169.46066,0.463481084,0.273266519,-213.240002,78.31808153,115.1655973,28.25382663,-11.69342917,25.86429412,39.01427356,18.72721108,-20.34127784,23.06459595,13.07760447,16.6978487,-9.173517682,11.25727196,9.011445506,8.246949131,-14.10063178,10.49165827,4.265940074,9.625249212,-6.04616578,9.215952213,3.782205423,10.22006155,0.221800354,8.737211636,blues
